,english,arabic
1307,"'(c) the marking ""EGGS FOR THE FOODS INDUSTRY"" in letters, 2 cm high, in one or more languages of the Community.';",تحافظ مراكز التعبئة على النحو المشار إليه في الفقرة 2 على سجل منفصل للجودة اليومية ووزن البيض المباع في عبوات صغيرة والموضوع عليه علامات وفقا للفقرة 1 بما في ذلك اسم وعنوان المشتري، وعدد العبوات، وعدد و / أو وزن البيض المباع وفق الصنف والوزن وتاريخ التسليم ومخزون البيض المصنف على أساس أسبوعي. بدلا من الاحتفاظ بسجلات المبيعات، يتم الاحتفاظ بالفواتير أو مذكرات التسليم وفق الأصول كما هو مبين في الفقرة 1.؛
1308,"3. Large packs containing small packs marked in capital letters 2 cm high ""PACK CONTAINING SMALL ""EXTRA"" PACKS"" in one or more languages of the Community.';",6. تستبدل المادة 24 بما يلي:
1309,8. Annex I is replaced by the Annex to this Regulation.,وفيما عدا الحالة المنصوص عليها في المادة 13 (3) من اللائحة رقم 1907/90، في التحقق من الصنف والبيض، إلا انه يحق التسامح فيما يتعلق بوزن البيض، في العبوات التي تحتوي على حد أقصى 12٪ من البيض ، وبما لا يزيد عن 6٪ من البيض منخفض الوزن عن بقية الصنف.
1310,COMMISSION REGULATION (EEC) No 3224/92 of 4 November 1992 correcting Regulation (EEC) No 2342/92 on imports of pure-bred animals of the bovine species from third countries and the granting of export refunds thereon and repealing Regulation (EEC) No 1544/79,المادة 2
1311,"Having regard to Council Regulation (EEC) No 805/68 of 27 June 1968 on the common organization of the market in beef and veal (1), as last amended by Regulation (EEC) No 2066/92 (2), and in particular Articles 10 (5) and 18 (6) thereof,",هيئة الجماعات الأوروبية،
1312,HAS ADOPTED THIS REGULATION:,تلغي لائحة الهيئة رقم 2342/92 (3) في تشديد أحكام الرقابة المطبقة على الواردات من بلدان ثالثة ومنح المبالغ المستردة على صادرات الحيوانات الولادة من أنواع الأبقار، اللائحة رقم 1544/79؛
1313,Article 2,المادة 1
1314,"(93/101/EEC)THE COUNCIL OF THE EUROPEAN COMMUNITIES,",تدخل هذه اللائحة حيز التنفيذ في تاريخ نشرها في الجريدة الرسمية للجماعات الأوروبية.
1315,Article 3,باعتبار المعاهدة المؤسسة للجماعة الاقتصادية الأوروبية، وعلى وجه الخصوص المادتين 113 و 235 منها،
1316,This Decision shall be published in the Official Journal of the European Communities.,يكون تمثيل الجماعة من قبل الهيئة بلجنة مشتركة بموجب المادة 13 من هذه الاتفاقية، بمساعدة ممثلين من الدول الأعضاء.
1317,"Having regard to the Treaty establishing the European Economic Community, and in particular Article 100a thereof,",توجيه المجلس رقم 93/35 المؤرخ في 14 تموز 1993 المعدل للمرة السادسة في التوجيه رقم 76/768 بشأن تقريب قوانين الدول الأعضاء فيما يتعلق بمستحضرات التجميل.
1318,"Having regard to the Opinion of the Economic and Social Committee (3),",باعتبار الاقتراح الصادر من الهيئة (1)،
1319,"Whereas greater transparency is needed regarding the ingredients employed in cosmetics if the latter are to be placed on the market without any prior procedure, if the necessary information on the finished product is to be available solely at the place of manufacture or of initial importation into the Community and if better information is to be provided to the consumer; whereas such transparency should be achieved by indication of a product's function and of the ingredients used in a cosmetic product on its packaging; whereas where for practical reasons it is impossible to indicate the ingredients and any warnings regarding use on the container or the packaging, such particulars should be enclosed so that the consumer may have access to all necessary information;",حيث ينبغي إزالة الغموض القانوني في التوجيه رقم 76/768 ولا سيما في المادتين 1 و 2؛
1320,Whereas the Commission should be authorized to amend Annexes I and VIII to Directive 76/768/EEC in view of their illustrative and technical nature;,فيما يتعلق بمنتجات التجميل النهائية، يجب توضيح المعلومات المتاحة لسلطات المراقبة في مكان التصنيع أو الاستيراد الأولي إلى سوق الجماعة؛ حيث ينبغي أن تشمل المعلومات جميع التفاصيل اللازمة والمتعلقة بالهوية والجودة والسلامة لصحة الإنسان والآثار المزعومة لمنتجات التجميل.
1321,Directive 76/768/EEC is hereby amended as follows:,تم اعتماد هذا التوجيه:
1322,"A cosmetic product put on the market within the Community must not cause damage to human health when applied under normal or reasonably foreseeable conditions of use, taking account, in particular, of the product's presentation, its labelling, any instructions for its use and disposal as well as any other indication or information provided by the manufacturer or his authorized agent or by any other person responsible for placing the product on the Community market.",1. يستعاض عن المادة 1 (1) بما يلي:
1323,'(i) ingredients or combinations of ingredients tested on animals after 1 January 1998 in order to meet the requirements of this Directive.,لا يعفي توفير مثل هذه التحذيرات في أي حال، أي شخص من الامتثال للمتطلبات الأخرى بخصوصها الواردة في هذه التوجيه.؛
1324,4. the following Article shall be inserted:,في حال وجود نقص في تطوير أساليب مرضية تحل محل التجارب على الحيوانات، وبخاصة في حالات عدم التحقق من صحة الطرق البديلة للاختبار علميا، رغم الجهود المعقولة، بحيث تقدم مستوى مماثل من الحماية للمستهلك، مع الأخذ في المبادئ التوجيهية لاختبار تسمية OECD. تقدم الهيئة قبل 1 كانون الثاني 1997، مشروع تدابير لتأجيل موعد تنفيذ هذا الحكم لفترة كافية، وعلى أي حال لمدة لا تقل عن سنتين، وفقا للإجراء المنصوص عليه في المادة 10، بعد التشاور مع اللجنة العلمية لمستحضرات التجميل.
1325,"For the purposes of this Article, ""cosmetic ingredient"" shall mean any chemical substance or preparation of synthetic or natural origin, except for perfume and aromatic compositions, used in the composition of cosmetic products.",المادة 5 أ
1326,"- the identity of each ingredient, in particular its chemical name, the CTFA name, the European Pharmacopoeia name, the international non-proprietary names recommended by the World Health Organization, the Einecs, Iupac, CAS and colour index numbers, and the common name referred to in Article 7 (2),",يقسم المخزون إلى قسمين: الأول يتعلق بالعطور والمواد العطرية الخام والثاني يتعلق بالمواد الأخرى.
1327,3. The Commission shall publish the inventory and shall update it periodically under the procedure provided for in Article 10. The inventory shall be indicative and shall not constitute a list of the substances authorized for use in cosmetic products.';,- الوظيفة (الوظائف) المعتادة من العنصر في المنتج النهائي،
1328,6. Article 6 (1) (d) shall be replaced by the following:,5. في المادة 6 (1)، يستعاض عن الجملة الاستهلالية بما يلي:
1329,"'(f) the function of the product, unless it is clear from the presentation of the product;","(د) مراقبة الاحتياطات خاصة قيد الاستخدام، خاصة تلك المدرجة في عمود ""شروط الاستخدام والتحذيرات التي يجب أن تكون مطبوعة على الملصق"" في المرفقات 3 و 4  و 6 و 7، التي يجب أن تظهر على الحاوية والعبوات، وكذلك أية معلومات وقائية خاصة بمنتجات التجميل للاستخدام المهني، لا سيما في مجال تصفيف الشعر. حيثما يكون هذا مستحيلا لأسباب عملية، يجب أن يحتوي المنتج على نشرة مرفقة أو تسمية أو شريط لاصق أو بطاقة تحتوي على تلك المعلومات التي يرجع إليها المستهلك إما بواسطة معلومات مختصرة أو رمز معين كما ورد في المرفق 8، و تظهر على الحاوية والعبوة."
1330,"- impurities in the raw materials used,","(ز) ترد قائمة المكونات بالترتيب التنازلي للوزن وقت إضافتها، مسبوقة بكلمة ""المكونات"". وحيثما يكون هذا مستحيلا لأسباب عملية، يجب أن يحتوي المنتج على نشرة مرفقة أو تسمية أو شريط لاصق أو بطاقة تحتوي على تلك المعلومات التي يرجع إليها المستهلك إما بواسطة معلومات مختصرة أو رمز معين كما ورد في المرفق 8، و تظهر على الحاوية والعبوة."
1331,"Perfume and aromatic compositions and their raw materials shall be referred to by the word ""perfume"" or ""flavour"". Ingredients in concentrations of less than 1 % may be listed in any order after those in concentrations of more than 1 %. Colouring agents may be listed in any order after the other ingredients, in accordance with the colour index number or denomination adopted in Annex IV.",- المواد الفنية الفرعية المستخدمة في الإعداد ولكنها غير موجودة في المنتج النهائي،
1332,"In accordance with the procedure laid down in Article 10, the Commission shall, no later than 14 December 1994, adopt the criteria and conditions under which a manufacturer may, for reasons of trade secrecy, apply not to include one or more ingredients on the abovementioned list.';","لمستحضرات التجميل والزينة التي يتم تسويقها بعدة ألوان، يشترط أن تكون جميع المواد الملونة المستخدمة مدرجة في القائمة وإضافة مصطلح ""قد تحتوي على ""."
1333,"In the case of soap, bath balls and other small products where it is impraticable, for reasons of size or shape, for the particulars referred to in point (g) to appear on a label, tag, tape or card or in an enclosed leaflet, those particulars shall appear on a notice in immediate proximity to the container in which the cosmetic product is exposed for sale.';",8. تضاف الفقرتان التاليتان في نهاية المادة 6 (1):
1334,10. Article 7 (2) shall be replaced by the following:,9. تضاف في نهاية المادة 6 (3):
1335,"'3. Furthermore, a Member State may, for purposes of prompt and appropriate medical treatment in the event of difficulties, require that appropriate and adequate information on substances used in cosmetic products be made available to the competent authority, which shall ensure that that information is used only for the purposes of such treatment.",2. يجوز لهم طلب كتابة التفاصيل المنصوص عليها في المادة 6 (1) (ب) و (ج) و (د) و (و) على الأقل في لغتهم الوطنية أو اللغة أو اللغات الرسمية؛ ويجوز لهم أيضا طلب ذكر التفاصيل المنصوص عليها في المادة 6 (1) (ز) بلغة يسهل فهمها من قبل المستهلك، وتحقيقا لهذه الغاية، تقوم الهيئة باعتماد تسميات مشتركة وفقا لإجراءات المادة 10؛
1336,'Article 7a,تقوم كل دولة عضو بتعيين سلطة مختصة وترسل تفاصيل ذلك إلى الهيئة التي تتولى نشر هذه المعلومات في الجريدة الرسمية للجماعات الأوروبية؛
1337,(b) the physico-chemical and microbiological specifications of the raw materials and the finished product and the purity and microbiological control criteria of the cosmetic product;,1. تقوم الشركة المصنعة أو وكيلها أو الشخص الذي صنعت منتجات مستحضرات التجميل له أو الشخص المسؤول عن طرح منتجات التجميل المستوردة في السوق، لأغراض السيطرة، بتيسير المعلومات التالية لسهولة الاطلاع عليها من السلطات المختصة في الدولة العضو المعنية على العنوان المحدد على ملصق التسمية وفقا للمادة 6 (1) (أ):
1338,"Should the same product be manufactured at several places within Community territory, the manufacturer may choose a single place of manufacture where that information will be kept available. In this connection, and when so requested for monitoring purposes, he shall be obliged to indicate the place so chosen to the monitoring authority/authorities concerned;",(ج) يجب أن تكون طريقة الصنع بالتوافق مع ممارسات التصنيع الجيدة التي يبينها قانون الجماعة أو إذا تعذر ذلك، وفقا لقانون الدولة العضو المعنية؛ ويمتلك الشخص المسؤول عن تصنيع أو استيراد المنتج في الجماعة على مستوى مناسب من المؤهلات المهنية أو الخبرة وفقا للتشريعات وممارسة الدولة العضو مكان صنع أو الاستيراد الأصلي؛
1339,"(g) proof of the effect claimed for the cosmetic product, where justified by the nature of the effect or product.",(هـ) اسم وعنوان الشخص أو الأشخاص المؤهلين والمسؤولين عن التقييم المشار إليه في الفقرة (د). يحمل الشخص شهادة على دبلوم على النحو المحدد في المادة 1 من التوجيه رقم 89/48 في مجال الصيدلة أو علم السموم والأمراض الجلدية أو الطب أو ما يعادلها.
1340,"4. The manufacturer or his agent, or the person to whose order a cosmetic product is manufactured, or the person responsible for placing imported cosmetic products on the Community market, shall notify the competent authority of the Member State of the place of manufacture or of the initial importation of the address of the place of manufacture or of initial importation into the Community of the cosmetic products before the latter are placed on the Community market.",2. ينفذ تقييم سلامة صحة الإنسان المشار إليه في الفقرة 1 (د) وفقا لمبدأ الممارسة المخبرية الجيدة المنصوص عليها في توجيه المجلس رقم 87/18  المؤرخ في 18 كانون الأول عام 1986 بشأن مواءمة القوانين واللوائح والأحكام الإدارية المتعلقة بتطبيق مبادئ الممارسة المخبرية الجيدة والتحقق من تطبيقها عند إجراء اختبارات على المواد الكيميائية (*).
1341,"'2. The common nomenclature of ingredients used in cosmetic products and, after consultation of the Scientific Committee on Cosmetology, the amendments necessary for the adaptation to technical progress of the Annexes shall be adopted in accordance with the same procedure, as appropriate.';",5. تقوم الدول الأعضاء بتعيين السلطات المختصة المشار إليها في الفقرتين 1 و 4 و ترسل تفاصيل ذلك إلى الهيئة التي تتولى نشر هذه المعلومات في الجريدة الرسمية للجماعات الأوروبية.
1342,1. Member States shall take all necessary measures to ensure that from 1 January 1997 neither manufacturers nor importers established within the Community place on the market cosmetic products which fail to comply with this Directive.,14. يضاف المرفق 8 الظاهر في مرفق هذا التوجيه.
1343,"1. Member States shall bring into force the laws, regulations and administrative provisions necessary for them to comply with this Directive no later than 14 June 1995. They shall forthwith inform the Commission thereof.",2. تتخذ الدول الأعضاء جميع التدابير اللازمة لضمان عدم بيع أو التصرف في المنتجات المشار إليها في الفقرة (1) إلى المستهلك النهائي بعد تاريخ 31 كانون الأول 1997.
1344,Article 4,عندما تعتمد الدول الأعضاء هذه الأحكام، ترفق معها إشارة إلى هذا التوجيه أو ترفق مثل هذه الإشارة في وقت النشر الرسمي. تقر الدول الأعضاء أساليب صنع مثل هذه الإشارة.
1345,"THE COUNCIL OF THE EUROPEAN COMMUNITIES,",يبلغ هذا التوجيه إلى الدول الأعضاء.
1346,"In cooperation with the European Parliament (2),",باعتبار المعاهدة المؤسسة للجماعة الاقتصادية الأوروبية، وخاصة المادة 100 أ منه،
1347,Whereas provision has been made in Directive 93/39/EEC (7) for the continued management of marketing authorizations which have been granted by Member States following the opinion of the Committee for Proprietary Medicinal Products given in accordance with Directive 87/22/EEC;,باعتبار رأي الهيئة الاقتصادية والاجتماعية (3)،
1348,"Whereas in the interests of legal certainty, provision should be made for the continued examination of applications for marketing authorization which have been referred to the Committee for Proprietary Medicinal Products or the Committee for Veterinary Medicinal Products in accordance with Directive 87/22/EEC before 1 January 1995,",حيث علاوة على ذلك، تم نص حكم في التوجيه رقم 93/40  (8)  بشأن الإدارة المستمرة لتفويض التسويق التي منحت من قبل الدول الأعضاء، بعد الأخذ برأي اللجنة البيطرية للمنتجات الطبية المعطى وفقا للتوجيه رقم 87/22؛
1349,"With effect from 1 January 1995, Directive 87/22/EEC is hereby repealed.",تم اعتماد هذا التوجيه:
1350,Article 3,المادة 2
1351,Article 4,تتخذ الدول الأعضاء جميع التدابير المناسبة للامتثال لهذا التوجيه اعتبارا من 1 كانون الثاني 1995، وتخطر الهيئة بذلك فورا.
1352,"Having regard to the Treaty establishing the European Community, and in particular Article 43 thereof,",يبلغ هذا التوجيه إلى الدول الأعضاء.
1353,"Having regard to the opinion of the Economic and Social Committee (3),",باعتبار اقتراح الهيئة (1)،
1354,Whereas national laws concerning the protection of animals at the time of slaughter or killing have an impact on the conditions of competition and accordingly on the operation of the common market in agricultural products;,حيث ينص توجيه المجلس رقم 74/577 (4) على القواعد المقررة على الحيوانات قبل الذبح؛
1355,"Whereas, however, it is necessary to allow for technical and scientific experiments to be carried out and to take account of the particular requirements of certain religious rites;",وبالتالي من الضروري وضع معايير دنيا مشتركة لحماية الحيوانات في وقت الذبح أو القتل من أجل ضمان التنمية الرشيدة للإنتاج ولتسهيل إتمام السوق الداخلية للحيوانات والمنتجات الحيوانية؛
1356,Whereas in so doing Community action must comply with the requirements arising out of the principle of subsidiarity laid down in Article 3b of the Treaty;,حيث يجب أن تضمن القواعد أيضا حماية مرضية، في وقت ذبح أو صعق الحيوانات غير المشمولة في الاتفاقية؛
1357,2. It shall not apply to:,يلغى التوجيه رقم 74/577،
1358,- wild game killed in accordance with Article 3 of Directive 92/45/EEC.,- تتم التجارب الفنية أو العلمية المتعلقة بالإجراءات المشار إليها في الفقرة 1، تحت إشراف السلطة المختصة،
1359,6. killing: any process which causes the death of an animal;,4. التقييد: تقييد حيوان يهدف منع حركته من أجل تسهيل قتل أو صعق فعال؛
1360,"However, in the Member States, the religious authority on whose behalf slaughter is carried out shall be competent for the application and monitoring of the special provisions which apply to slaughter according to certain religious rites. As regards the said provisions, that authority shall operate under the responsibility of the official veterinarian, as defined in Article 2 of Directive 64/433/EEC.",7. الذبح: التسبب في نفق حيوان بالنزيف؛
1361,CHAPTER II Requirements applicable to slaughterhouses,المادة 3
1362,Article 5,المادة 4
1363,(b) restrained in accordance with the provisions of Annex B;,1. تكون الخيليات والمجترات والخنازير والأرانب والدواجن في المسالخ معدة للذبح:
1364,"2. In the case of animals subject to particular methods of slaughter required by certain religious rites, the requirements of paragraph 1(c) shall not apply.",(ج) صعقت قبل الذبح أو ذبحت على الفور وفقا لأحكام المرفق ج؛
1365,"1. Instruments, restraint and other equipment and installations used for stunning or killing must be designed, constructed, maintained and used in such a way as to achieve rapid and effective stunning or killing in accordance with the provisions of this Directive. The competent authority shall check that the instruments, restraint and other equipment used for stunning or killing comply with the above principles and shall check regularly to ensure that they are in a good state of repair and will allow the aforementioned objective to be attained.",3. مع مراعاة القواعد العامة للمعاهدة، يجوز للسلطات المختصة في الدول الأعضاء أن توفر للمؤسسات المؤهلة للاستثناءات المنصوص عليها في المادتين 4 و 13 من التوجيه رقم 64/433، والمادة 4 من التوجيه رقم 91 / 498،  والمادتين 7 و 18 من التوجيه رقم 71/118، استثناءات من الفقرة 1 (أ) فيما يتعلق بالماشية، ومن الفقرة 1 (أ) من طرق الصعق والقتل المشار إليها في الملحق ج بالنسبة للدواجن والأرانب والخنازير والأغنام والماعز، شريطة استيفاء الشروط المنصوص عليها في المادة (3).
1366,"No person shall engage in the movement, lairaging, restraint, stunning, slaughter or killing of animals unless he has the knowledge and skill necessary to perform the tasks humanely and efficiently, in accordance with the requirements of this Directive.",2. يجب المحافظة على أجهزة وأدوات الذبح المناسبة في مكان الذبح لاستخدامها في حالات الطوارئ، وبشكل مناسب وتفتش بصورة منتظمة.
1367,"Inspections and controls in slaughterhouses shall be carried out under the responsibility of the competent authority, which shall at all times have free access to all parts of slaughterhouses in order to ascertain compliance with this Directive. However, such inspections and controls may be carried out at the same time as controls carried out for other purposes.",تضمن السلطة المختصة المهارة اللازمة والقدرة والمعرفة المهنية عند الأشخاص الذين يعملون بالذبح.
1368,"1. Where animals referred to in Article 5 (1) are slaughtered outwith slaughterhouses, Article 5 (1)(b), (c) and (d) shall apply.",يتناول الفصل الثالث الذبح والقتل خارج المسالخ
1369,"1. Where animals referred to in Article 5 (1) are to be slaughtered or killed for purposes of disease control, this shall be carried out in accordance with Annex E.",قد 2. يجوز للدول الأعضاء منح استثناءات من الفقرة (1) فيما يتعلق بالدواجن والأرانب والخنازير والأغنام والماعز التي تم ذبحها أو قتلها خارج المسالخ من قبل صاحبها المستهلك، شريطة الامتثال للمادة 3 وأن يتم صعق الخنازير والأغنام والماعز مسبقا.
1370,Article 11,2. يتم ذبح الحيوانات المرباة للحصول على فرائها وفقا للمرفق و.
1371,"Injured or diseased animals must be slaughtered or killed on the spot. However, the competent authority may authorize the transport of injured or diseased animals for the purpose of slaughter or killing provided that such transport does not entail further suffering for the animals.",لا تطبق المادتان 9 و 10 في حالة الحيوانات التي لابد من قتلها على الفور لأسباب طارئة.
1372,"1. If necessary, rules on the protection of animals at the time of slaughter or killing other than those in this Directive shall be adopted by the Council acting by a qualified majority on a proposal from the Commission.",الفصل الرابع أحكام ختامية
1373,"- free bullet pistols, applied to the brain, or of gases other than those referred to in Annex C or combinations thereof for stunning and more particularly carbon dioxide for stunning poultry,",2. (أ) يجوز تعديل مرفقات هذا التوجيه من المجلس بناء على اقتراح الهيئة، وفقا للإجراءات المنصوص عليها في الفقرة (1)، ولا سيما من أجل تكييفها مع التقدم التكنولوجي والعلمي؛
1374,The Council shall act by a qualified majority on these proposals;,- الغازات الأخرى غير تلك المشار إليها في الملحق ج أو خليط منها لقتله،
1375,(ii) the gas concentration and length of exposure necessary to stun the various species concerned;,(ج) على سبيل الاستثناء من (أ)، وفي موعد لا يتجاوز 31 كانون الأول 1995، تقدم الهيئة، وفقا للإجراءات المنصوص عليها في المادة 16، إلى اللجنة البيطرية الدائمة تقرير تم وضعه على أساس رأي اللجنة البيطرية العلمية، إلى جانب المقترحات المناسبة، بهدف وضع:
1376,"1. Commission experts may make on-the-spot checks in so far as is necessary to ensure uniform application of this Directive. In order to do this, they may check a representative sample of establishments to ensure that the competent authority is checking that the said establishments are fulfilling the requirements of this Directive.",(د) مع تعليق تنفيذ الفقرات (ب) و (ج)، تطبق القواعد الوطنية في هذا الشأن، وفقا للأحكام العامة للمعاهدة.
1377,3. A Member State in whose territory a check is being carried out shall give all the necessary assistance to the experts in carrying out their duties.,تقوم الهيئة بإبلاغ الدول الأعضاء بنتائج عمليات التفتيش التي تقوم بها.
1378,"In the course of the inspection of slaughterhouses or establishments which have been or are to be approved in third countries for the purpose of being able to export to the Community in accordance with Community rules, the Commission experts shall ensure that the animals referred to in Article 5 have been slaughtered under conditions which offer guarantees of humane treatment at least equivalent to those provided for in this Directive.",4. تحدد القواعد التفصيلية للتنفيذ وفقا للإجراءات المنصوص عليها في المادة 16.
1379,"1. Where the procedure laid down in this Article is to be followed, the matter shall without delay be referred to the Standing Veterinary Committee by its chairman, either on his own initiative or at the request of the representative of a Member State.",لتمكين استيراد اللحوم من بلد ثالث، يجب إرفاق تلك اللحوم بشهادة صحية تثبت أن الشرط المذكور أعلاه قد تم الوفاء به.
1380,"(b) Where the intended measures are not in accordance with the opinion of the committee, or if no opinion is delivered, the Commission shall without delay submit to the Council a proposal relating to the measures to be taken. The Council shall act by a qualified majority.",2. يقوم ممثل الهيئة بموافاة اللجنة بمشروع التدابير الواجب اتخاذها، وتقوم الهيئة بتقديم رأيها في المشروع خلال مهلة يحددها الرئيس وفقا لإلحاح المسألة.  يتم تسليم الرأي بحسب الأغلبية المنصوص عليها في المادة 148 (2) من المعاهدة في حالة القرارات التي يطلب من المجلس اعتمادها بناء على اقتراح من الهيئة. يتم ترجيح أصوات ممثلي الدول الأعضاء في الهيئة على النحو المنصوص عليه في تلك المادة، ولا يصوت الرئيس.
1381,Directive 74/577/EEC shall be repealed with effect from 1 January 1995.,147 # في حال لم يتصرف الرئيس بعد انقضاء فترة ثلاثة أشهر من تاريخ إحالة المسألة إلى ذلك، تتخذ التدابير المقترحة من قبل الهيئة، باستثناء عندما يقرر المجلس ما يخالف تلك التدابير بالأغلبية البسيطة.
1382,"When Member States adopt these measures, they shall contain a reference to this Directive or shall be accompanied by such reference on the occasion of their official publication. The methods of making such reference shall be laid down by Member States.",المادة 18
1383,Article 19,2. ومع ذلك، اعتبارا من التاريخ المنصوص عليه في الفقرة 1، يجوز للدول الأعضاء، مع إبلاء الاعتبار الواجب للقواعد العامة للمعاهدة، المحافظة على أو تطبيق في أراضيها أحكام أكثر صرامة من تلك الواردة في هذا التوجيه، على أن تعلم الهيئة عن أي من تلك التدابير.
1384,"THE COMMISSION OF THE EUROPEAN COMMUNITIES,",يبلغ هذا التوجيه إلى الدول الأعضاء.
1385,"After consulting the Advisory Committee on Cultural Goods,",باعتبار المعاهدة المؤسسة للجماعة الاقتصادية الأوروبية،
1386,"Whereas export licences must be made out in one of the official languages of the Community,",ولما كان من الضروري اعتماد أحكام لتنفيذ اللائحة رقم 3911/92، التي تنص، في جملة أمور، على إنشاء نظام تراخيص التصدير لفئات معينة من السلع الثقافية المحددة في مرفق هذه اللائحة.
1387,2. Use of the export licence shall in no way affect obligations connected with export formalities or related documents.,تم اعتماد هذه اللائحة:
1388,2. Forms shall measure 210 × 297 mm.,المادة 3
1389,"- for having the forms printed, bearing the printer's name and address or identifying mark,",3. تطبع النماذج وتعبئ باللغة الرسمية للجماعات المعينة من قبل السلطات المختصة في الدولة العضو المصدرة. يجوز للسلطات المختصة في الدولة العضو المقدمة للنموذج أن تطلب ترجمته إلى لغة الدولة العضو، أو إحدى اللغات الرسمية، وفي هذه الحالة، يتحمل تكاليف الترجمة صاحب الترخيص.
1390,SECTION II Use of licences,- لاتخاذ أي إجراء ضروري من أجل تجنب تزوير النماذج. تبلغ الدول الاعضاء وسيلة التعريف المعتمدة من قبلها لهذا الغرض إلى الهيئة، لكي تبلغ بدورها السلطات المختصة في الدول الأعضاء الأخرى.
1391,2. For the purposes of paragraph 1 a consignment shall mean either a single cultural object of a number of cultural objects.,المادة 4
1392,The form shall comprise three sheets:,3. عندما تتكون الشحنة من عدد من القطع الثقافية، يعود للسلطات المختصة تحديد ما إذا كان ينبغي إصدار ترخيص أو أكثر لتصدير الشحنة المعنية.
1393,"- one sheet, marked as No 3, which shall be returned to the issuing authority.",- يتكون الطلب من وثيقة واحدة عليها علامة رقم 1،
1394,2. The application shall be accompanied by:,المادة 6
1395,4. Any costs incurred by the application of paragraphs 2 and 3 shall be met by the applicant requesting the export licence.,- الوثائق التي توفر جميع المعلومات ذات الصلة بالوضع القانوني للقطعة (القطع) الثقافية في وقت تقديم الطلب، بواسطة أية وثائق داعمة (فواتير أو تقييم الخبير،... الخ)، عند الاقتضاء،
1396,The following shall be presented in support of the export declaration:,5. من أجل منح رخصة تصدير، ترفع الاستمارة بعد تعبئتها إلى السلطات المختصة المعينة من قبل الدول الأعضاء وفقا للمادة 2 (2) من اللائحة الأساسية. بعد أن تمنح السلطة رخصة التصدير (1)، تحتفظ بها تلك السلطة وتسلم بقية النسخ إلى حامل رخصة التصدير أو من يفوضه.
1397,Article 8,- الوثيقة لحاملها،
1398,Article 9,2. بعد الانتهاء من الخانة 19 ب، يعيد مكتب الجمارك المعتمد لقبول إعلان التصدير، إلى صاحب الإقرار أو من يفوضه الوثيقة المعدة لحاملها .
1399,"3. Where an export licence expires without having been used, the holder shall immediately return to the issuing authority the sheets in his possession.",1. لا تتجاوز مدة صلاحية تراخيص التصدير اثني عشر شهرا من تاريخ صدورها.
1400,Article 11,المادة 10
1401,COMMISSION REGULATION (EEC) No 1785/93 of 30 June 1993 on the operative events for the agricultural conversion rates used in the fibre sector,تدخل هذه اللائحة حيز النفاذ في 1 نيسان 1993.
1402,"Having regard to Council Regulation (EEC) No 3813/92 of 28 December 1992 on the unit of account and the conversion rates to be applied for the purposes of the common agricultural policy (1), and in particular Article 6 (2) thereof,",هيئة الجماعات الأوروبية،
1403,"Whereas Article 10 (1) and (2) of Regulation (EEC) No 1068/93 provides for operative events for the minimum price and the aid for cotton to be those actually specified in Article 15 of Regulation (EEC) No 1201/89; whereas, however, it is appropriate to indicate the possibility of fixing the agricultural conversion rates for the aid in advance;",حيث تمنح المساعدات المبينة في لائحة المجلس رقم 845/72 المؤرخة في 24 نيسان 1972 التي تضع تدابير خاصة لتشجيع تربية دودة القز (2)، وفقا لآخر تعديل في اللائحة رقم 2059/92 (3)، إلى صناديق البيض التي تم فيها بنجاح تربية الديدان؛ وبالتالي، يمكن، اعتبار أن هذا الحدث الذي تم تحقيق هدفه الاقتصادي، قد وقع في 1 آب من كل عام تسويفي؛ حيث يؤخذ ذلك التاريخ كحدث تشغيلي لمعدل التحويل الزراعي المعمول به لمساعدة دود القز؛
1404,HAS ADOPTED THIS REGULATION:,حيث تنص المادة 11 (1) من اللائحة رقم 1068/93 على معدل التحويل الزراعي ساري المفعول في بداية السنة التسويقية لاستخدامه للحصول على مساعدات للهكتار الواحد من الكتان والقنب؛ وحيث تنص المادة 10 (3) من هذه اللائحة على أن يكون الحدث التشغيلي للحصول على مساعدات خاصة بتخزين ألياف الكتان والقنب الألياف هو اليوم الأول من العقد لكل دفعة معنية؛ لذلك، تلغى اللائحتان رقم 876/75 و رقم 1426/86.
1405,Article 3,المادة 2
1406,This Regulation shall enter into force on the seventh day following its publication in the Official Journal of the European Communities.,تلغى اللائحتان رقم 876/75 و رقم 1426/86.
1407,"Having regard to the Treaty establishing the European Economic Community,",تحدد لائحة الهيئة رقم 2040/93 المؤرخة في 27 حزيران 1993 حجم المساعدات لإنتاج البطاطا للاستهلاك البشري في ماديرا وكميات المساعدات لإنتاج بذور البطاطا والهندباء في جزر الأزور مثبتة بالإيكو من قبل المجلس وخفضت نتيجة لإعادة تخطيط النقدية
1408,"Whereas Council Regulation (EEC) No 1600/92 (6), as amended by Commission Regulation (EEC) No 3714/92 (7), fixes an aid for the local production of potatoes for human consumption in Madeira and for seed potatoes and endives in the Azores; whereas the amounts of the aids should be adjusted pursuant to the above provisions;",باعتبار لائحة المجلس رقم 3813/92 المؤرخة في 28 كانون الأول 1992 بشأن وحدة الحساب ومعدلات التحويل التي سيتم تطبيقها لأغراض السياسة الزراعية المشتركة (1)، وخاصة المادة 9 (1) منها،
